"","GEOID","count","area","density"
"2169","36061002902",8,1327584.56613159,6.02598147348983e-06
"2170","36047062600",7,3425960.96502686,2.04322234592218e-06
"2171","36047062800",6,8303987.54582214,7.22544436259263e-07
"2172","36085011204",3,10866804.3473511,2.76070121823007e-07
"2173","36085012804",11,9446070.79183197,1.1645053527983e-06
"2174","36047066200",7,2488662.73851013,2.81275557819885e-06
"2175","36047017700",52,27324028.7900085,1.90308685441785e-06
"2176","36047050401",10,1564217.12568665,6.39297437407244e-06
"2177","36005032300",5,6019562.36335754,8.30625168107926e-07
"2178","36005033700",4,4629811.10517883,8.63966133634624e-07
"2179","36061002400",89,1863566.81733704,4.77578797669178e-05
"2180","36081001400",5,2306342.60263062,2.16793463134965e-06
"2181","36081002200",3,1594381.78933716,1.88160704046125e-06
"2182","36081001800",9,1914375.43788147,4.70127218617043e-06
"2183","36081002000",24,1577804.68878174,1.52110081625698e-05
"2184","36061031900",18,1077042.82730103,1.67124273461867e-05
"2185","36061021100",136,3738242.61054993,3.63807313137424e-05
"2186","36061021900",98,3005263.72311401,3.26094509597493e-05
"2187","36081066404",12,10975434.0586243,1.09335083568477e-06
"2188","36081071600",354,197189741.177628,1.79522523781355e-06
"2189","36047001801",1189,5139569.60009766,0.000231342328738462
"2190","36047005302",85,8312244.57940674,1.02258781232911e-05
"2191","36005051601",4,12452707.9047089,3.21215275473331e-07
"2192","36005000100",0,18163871.1557465,0
"2193","36005051602",0,4905155.74371338,0
"2194","36047036700",6,1961097.76393127,3.05951090779495e-06
"2195","36047114400",24,4617590.29753113,5.19751611848977e-06
"2196","36081008100",0,1210456.65869141,0
"2197","36081008700",1,2723117.04032898,3.67226228322228e-07
"2198","36081021601",117,2454686.82780457,4.76639213909999e-05
"2199","36061009903",85,4533958.76985168,1.87474135330041e-05
"2200","36061010300",43,1875852.82351685,2.29229070964019e-05
"2201","36061011100",78,1889083.36871338,4.1289866446246e-05
"2202","36081003700",11,4154203.05125427,2.64792063947832e-06
"2203","36061023804",86,2625958.43664551,3.27499471430551e-05
"2204","36061019200",758,2038667.18861389,0.000371811546403203
"2205","36061024500",3,2284357.77153015,1.31327939843262e-06
"2206","36061025100",3,1716083.5958252,1.74816658541475e-06
"2207","36081029100",325,2813943.97842407,0.000115496258096088
